#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
      0.7614         0.6      0.7614      0.6807      0.1614     3.3e+04
      0.7435         0.6         0.8         0.7         0.2   4.233e+04
      0.7041         0.6         0.8         0.7         0.2   4.233e+04
       0.696         0.6       0.756       0.678       0.156   3.174e+04
      0.6319         0.6      0.6719       0.636      0.0719   1.348e+04
       0.679         0.6         0.8         0.7         0.2   4.233e+04
       0.667         0.6         0.8         0.7         0.2   4.233e+04
      0.7041         0.6         0.8         0.7         0.2   4.233e+04
        0.74         0.6         0.8         0.7         0.2   4.233e+04
      0.6393         0.6         0.8         0.7         0.2   4.233e+04
      0.7152         0.6         0.8         0.7         0.2   4.233e+04
      0.7614         0.6      0.7614      0.6807      0.1614     3.3e+04
      0.6393         0.6      0.7593      0.6797      0.1593   3.251e+04
      0.7913         0.6         0.8         0.7         0.2   4.233e+04
       0.696         0.6       0.756       0.678       0.156   3.174e+04
      0.6821         0.6         0.8         0.7         0.2   4.233e+04
      0.6821         0.6         0.8         0.7         0.2   4.233e+04
      0.6827         0.6      0.7427      0.6714      0.1427   2.868e+04
      0.6809         0.6         0.8         0.7         0.2   4.233e+04
       0.679         0.6         0.8         0.7         0.2   4.233e+04
      0.6809         0.6         0.8         0.7         0.2   4.233e+04
      0.7837         0.6         0.8         0.7         0.2   4.233e+04
      0.6319         0.6      0.6719       0.636      0.0719   1.348e+04
       0.679         0.6         0.8         0.7         0.2   4.233e+04
       0.607         0.6       0.707      0.6535       0.107   2.078e+04
      0.6319         0.6      0.6719       0.636      0.0719   1.348e+04
      0.6338         0.6      0.7338      0.6669      0.1338   2.666e+04
      0.6943         0.6         0.8         0.7         0.2   4.233e+04
       0.799         0.6         0.8         0.7         0.2   4.233e+04
      0.7433         0.6         0.8         0.7         0.2   4.233e+04
      0.7834         0.6         0.8         0.7         0.2   4.233e+04
      0.7836         0.6         0.8         0.7         0.2   4.233e+04
       0.679         0.6         0.8         0.7         0.2   4.233e+04
      0.6809         0.6         0.8         0.7         0.2   4.233e+04
      0.7939         0.6         0.8         0.7         0.2   4.233e+04
      0.7783         0.6         0.8         0.7         0.2   4.233e+04
        0.78         0.6         0.8         0.7         0.2   4.233e+04
      0.7843         0.6         0.8         0.7         0.2   4.233e+04
       0.679         0.6         0.8         0.7         0.2   4.233e+04
      0.6382         0.6         0.8         0.7         0.2   4.233e+04
      0.6827         0.6      0.7427      0.6714      0.1427   2.868e+04
      0.6319         0.6      0.6719       0.636      0.0719   1.348e+04
      0.7783         0.6         0.8         0.7         0.2   4.233e+04
      0.7798         0.6         0.8         0.7         0.2   4.233e+04
      0.6346         0.6      0.7346      0.6673      0.1346   2.684e+04
      0.6813         0.6         0.8         0.7         0.2   4.233e+04
      0.6813         0.6         0.8         0.7         0.2   4.233e+04
      0.7803         0.6         0.8         0.7         0.2   4.233e+04
       0.779         0.6         0.8         0.7         0.2   4.233e+04
      0.7041         0.6         0.8         0.7         0.2   4.233e+04
       0.639         0.6         0.8         0.7         0.2   4.233e+04
      0.7435         0.6         0.8         0.7         0.2   4.233e+04
      0.7517         0.6         0.8         0.7         0.2   4.233e+04
      0.6393         0.6         0.8         0.7         0.2   4.233e+04
      0.6393         0.6         0.8         0.7         0.2   4.233e+04
      0.6382         0.6         0.8         0.7         0.2   4.233e+04
      0.7152         0.6         0.8         0.7         0.2   4.233e+04
       0.679         0.6         0.8         0.7         0.2   4.233e+04
      0.6337         0.6         0.8         0.7         0.2   4.233e+04
      0.7041         0.6         0.8         0.7         0.2   4.233e+04
      0.7455         0.6      0.7655      0.6827      0.1655   3.397e+04
      0.7614         0.6      0.7614      0.6807      0.1614     3.3e+04
      0.7455         0.6      0.7655      0.6827      0.1655   3.397e+04
      0.7473         0.6      0.7473      0.6737      0.1473   2.973e+04
       0.795         0.6         0.8         0.7         0.2   4.233e+04
       0.679         0.6         0.8         0.7         0.2   4.233e+04
      0.6419         0.6         0.8         0.7         0.2   4.233e+04
      0.6813         0.6         0.8         0.7         0.2   4.233e+04
      0.6419         0.6         0.8         0.7         0.2   4.233e+04
      0.6337         0.6         0.8         0.7         0.2   4.233e+04
       0.779         0.6         0.8         0.7         0.2   4.233e+04
      0.7969         0.6         0.8         0.7         0.2   4.233e+04
      0.6319         0.6      0.6719       0.636      0.0719   1.348e+04
        0.78         0.6         0.8         0.7         0.2   4.233e+04
      0.7657         0.6         0.8         0.7         0.2   4.233e+04
      0.6393         0.6      0.7593      0.6797      0.1593   3.251e+04
      0.6419         0.6         0.8         0.7         0.2   4.233e+04
