#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
      0.6382         0.6         0.8         0.7         0.2   4.233e+04
      0.7609         0.6         0.8         0.7         0.2   4.233e+04
      0.7913         0.6         0.8         0.7         0.2   4.233e+04
      0.6827         0.6         0.8         0.7         0.2   4.233e+04
      0.7517         0.6         0.8         0.7         0.2   4.233e+04
       0.696         0.6         0.8         0.7         0.2   4.233e+04
       0.679         0.6         0.8         0.7         0.2   4.233e+04
      0.7783         0.6         0.8         0.7         0.2   4.233e+04
       0.696         0.6         0.8         0.7         0.2   4.233e+04
      0.7152         0.6         0.8         0.7         0.2   4.233e+04
      0.6338         0.6         0.8         0.7         0.2   4.233e+04
      0.7659         0.6         0.8         0.7         0.2   4.233e+04
       0.783         0.6         0.8         0.7         0.2   4.233e+04
       0.748         0.6         0.8         0.7         0.2   4.233e+04
      0.6407         0.6         0.8         0.7         0.2   4.233e+04
      0.7517         0.6         0.8         0.7         0.2   4.233e+04
      0.7969         0.6         0.8         0.7         0.2   4.233e+04
      0.6385         0.6         0.8         0.7         0.2   4.233e+04
      0.6319         0.6         0.8         0.7         0.2   4.233e+04
        0.61         0.6         0.8         0.7         0.2   4.233e+04
       0.761         0.6         0.8         0.7         0.2   4.233e+04
      0.6817         0.6         0.8         0.7         0.2   4.233e+04
       0.761         0.6         0.8         0.7         0.2   4.233e+04
      0.7659         0.6         0.8         0.7         0.2   4.233e+04
      0.6348         0.6         0.8         0.7         0.2   4.233e+04
      0.6337         0.6         0.8         0.7         0.2   4.233e+04
      0.7038         0.6         0.8         0.7         0.2   4.233e+04
      0.6801         0.6         0.8         0.7         0.2   4.233e+04
      0.6393         0.6         0.8         0.7         0.2   4.233e+04
       0.679         0.6         0.8         0.7         0.2   4.233e+04
       0.696         0.6         0.8         0.7         0.2   4.233e+04
      0.7913         0.6         0.8         0.7         0.2   4.233e+04
        0.74         0.6         0.8         0.7         0.2   4.233e+04
       0.799         0.6         0.8         0.7         0.2   4.233e+04
      0.6943         0.6         0.8         0.7         0.2   4.233e+04
      0.7614         0.6         0.8         0.7         0.2   4.233e+04
      0.7038         0.6         0.8         0.7         0.2   4.233e+04
      0.6337         0.6         0.8         0.7         0.2   4.233e+04
      0.7609         0.6         0.8         0.7         0.2   4.233e+04
       0.799         0.6         0.8         0.7         0.2   4.233e+04
       0.799         0.6         0.8         0.7         0.2   4.233e+04
      0.7898         0.6         0.8         0.7         0.2   4.233e+04
       0.679         0.6         0.8         0.7         0.2   4.233e+04
      0.6419         0.6         0.8         0.7         0.2   4.233e+04
      0.7455         0.6         0.8         0.7         0.2   4.233e+04
       0.634         0.6         0.8         0.7         0.2   4.233e+04
      0.7433         0.6         0.8         0.7         0.2   4.233e+04
       0.795         0.6         0.8         0.7         0.2   4.233e+04
       0.788         0.6         0.8         0.7         0.2   4.233e+04
      0.7614         0.6         0.8         0.7         0.2   4.233e+04
      0.7803         0.6         0.8         0.7         0.2   4.233e+04
       0.783         0.6         0.8         0.7         0.2   4.233e+04
      0.6827         0.6         0.8         0.7         0.2   4.233e+04
      0.7473         0.6         0.8         0.7         0.2   4.233e+04
      0.7469         0.6         0.8         0.7         0.2   4.233e+04
      0.7435         0.6         0.8         0.7         0.2   4.233e+04
      0.6801         0.6         0.8         0.7         0.2   4.233e+04
      0.7936         0.6         0.8         0.7         0.2   4.233e+04
      0.7038         0.6         0.8         0.7         0.2   4.233e+04
       0.761         0.6         0.8         0.7         0.2   4.233e+04
       0.607         0.6         0.8         0.7         0.2   4.233e+04
      0.7798         0.6         0.8         0.7         0.2   4.233e+04
      0.7969         0.6         0.8         0.7         0.2   4.233e+04
      0.6319         0.6         0.8         0.7         0.2   4.233e+04
      0.6813         0.6         0.8         0.7         0.2   4.233e+04
       0.634         0.6         0.8         0.7         0.2   4.233e+04
       0.795         0.6         0.8         0.7         0.2   4.233e+04
      0.6319         0.6         0.8         0.7         0.2   4.233e+04
      0.6319         0.6         0.8         0.7         0.2   4.233e+04
        0.78         0.6         0.8         0.7         0.2   4.233e+04
      0.7803         0.6         0.8         0.7         0.2   4.233e+04
       0.761         0.6         0.8         0.7         0.2   4.233e+04
      0.7609         0.6         0.8         0.7         0.2   4.233e+04
      0.7803         0.6         0.8         0.7         0.2   4.233e+04
      0.6338         0.6         0.8         0.7         0.2   4.233e+04
      0.6419         0.6         0.8         0.7         0.2   4.233e+04
      0.7781         0.6         0.8         0.7         0.2   4.233e+04
